Column1,Column2
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"EDGE,HSPA+,LTE cat 20"
ประเภท,Foldable Dynamic AMOLED
ขนาดหน้าจอ,6.70 นิ้ว
ความละเอียด,2636 x 1080 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อมอินเตอร์เฟซ One ui 2 และ Android 10
รองรับ Samsung Pay
หน้าจอรองรับ HDR10+
รองรับ ANT+
มาพร้อม USB Power Delivery 3.0 ,Power bank/Reverse wireless charging 9W"
ระบบปฏิบัติการ,Android 10
ชิปประมวลผล,Qualcomm Snapdragon 855 Plus SM8150-AC 2.42 GHz
ชิปกราฟิก,Adreno 640
หน่วยความจำ,8 GB
ความจุ,256 GB
Memory Card,Not Suppor
กล้องหลัก,"ตัวที่ 1: 12 MP
ตัวที่ 2: 12 MP"
ความละเอียดวีดีโอ,4k @ 60fps
กล้องหน้า,ตัวที่ 1: 10 MP
Bluetooth,"5.0, A2DP, LE, aptX"
Wi-Fi,802.11 a/b/g/n/ac/ax
USB,"3.1, Type-C 1.0 reversible connector"
GPS,"GPS ,A-GPS, GLONASS, BDS,"
NFC,รอบรับ
ความจุ,"3,300 mAh"
ประเภท,Non-removable Li-Po Batt
Wireless Charging,รองรับ
Fast Charging,รองรับ (Fast battery 15W)
วันเปิดตัว,กุมภาพันธ์ 2565
วันวางจำหน่าย,วางจำหน่ายแล้ว
ขนาด,326.40 x 208.60 x 5.50 มม.
น้ำหนัก,728 กรัม
วัสดุ,"Glass front, aluminum back, aluminum frame"
SIM,รองรับ 1 ซิมการ์ด (nano sim)
Technology,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G"
ประเภท,Super AMOLED
ขนาดหน้าจอ,14.60 นิ้ว
ความละเอียด,1848 x 2960 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Qualcomm Snapdragon 8 Gen1 SM8450 3 GHz
ชิปกราฟิก,Adreno 730
หน่วยความจำ,8 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 13 MP, f/2.0, 26mm (wide), 1/3.4
ตัวที่ 2: 6 MP, f/2.2, (ultrawide)"
ความละเอียดวีดีโอ,"4K@30/60fps, 1080p@30fps"
กล้องหน้า,"ตัวที่ 1: 12 MP, f/2.2, 26mm (wide)
ตัวที่ 2: 12 MP, f/2.4, 120? (ultrawide)"
Bluetooth,"5.2, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac/6e, dua"
USB,Type-C
GPS,"A-GPS, GLONASS, BDS, GALI"
NFC,ไม่รองรับ
ความจุ,"11,200 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (45W)
วันเปิดตัว,ธันวาคม 2563
วันวางจำหน่าย,"มกราคม 2564, วางจำหน่ายแล้ว"
ขนาด,165.10 x 75.60 x 8.90 มม.
น้ำหนัก,227 กรัม
วัสดุ,"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass), aluminum frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G"
ประเภท,Dynamic AMOLED 2X
ขนาดหน้าจอ,6.80 นิ้ว
ความละเอียด,1440 x 3200 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,Samsung Exynos 2100 2.9 GHz
ชิปกราฟิก,Mali-G78 MP14
หน่วยความจำ,16 GB
ความจุ,512 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 108 MP (2nd gen), f/1.8, 26mm (wide), 1/1.33
ตัวที่ 2: 10 MP, f/4.9, 240mm (periscope telephoto), 1/3.24
ตัวที่ 3: 10 MP, f/2.4, 70mm (telephoto), 1/3.24
ตัวที่ 4: 12 MP, f/2.2, 13mm (ultrawide), 1/2.55"
ความละเอียดวีดีโอ,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
กล้องหน้า,"ตัวที่ 1: 40 MP, f/2.2, 26mm (wide), 1/2.8"
Bluetooth,"5.2, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac/6e, dua"
USB,Type-C
GPS,"with A-GPS, GLONASS, BDS,"
NFC,รอบรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Wireless Charging,รองรับ
Fast Charging,รองรับ (25W)
วันเปิดตัว,กุมภาพันธ์ 2562
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,157.60 x 74.10 x 7.80 มม.
น้ำหนัก,175 กรัม
วัสดุ,"Gorilla Glass 6 , aluminum frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"EDGE,HSPA+,LTE"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,Support
5G,-
ความเร็ว,"EDGE,HSPA+,LTE"
ประเภท,
ขนาดหน้าจอ,6.40 นิ้ว
ความละเอียด,3040 x 1440 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อมอินเตอร์เฟซ One ui และ Android 9
มีระบบป้องกันเสียงรบกวนจากภายนอกเวลาสนทนา
กันน้ำกันฝุ่น มาตราฐาน IP68 กันน้ำลึกไม่เกิน 1.5 เมตร นานไม่เกิน 30 นาที ในน้ำสะอาด
Wireless charging
AP and RAM สลับแอปพลิเคชันได้อย่างรวดเร็ว
รองรับ Samsung DeX
รองรับ Samsung Pay
หน้าจอรองรับ HDR10"
ระบบปฏิบัติการ,Android 9
ชิปประมวลผล,Samsung Exynos 9810 2.9 GHz
ชิปกราฟิก,Mali-G72 MP18
หน่วยความจำ,12 GB
ความจุ,1024 GB
Memory Card,microSD (512)
กล้องหลัก,"ตัวที่ 1: 12 MP
ตัวที่ 2: 12 MP
ตัวที่ 3: 16 MP"
ความละเอียดวีดีโอ,4k@60fps
กล้องหน้า,"ตัวที่ 1: 10 MP
ตัวที่ 2: 8 MP"
Bluetooth,"5.0, A2DP, LE, aptX"
Wi-Fi,802.11 a/b/g/n/ac
USB,"3.1, Type-C 1.0 reversible connector"
GPS,"GPS ,A-GPS, GLONASS"
NFC,รอบรับ
ความจุ,"4,100 mAh"
ประเภท,Non-removable Li-Ion
Wireless Charging,รองรับ
Fast Charging,รองรับ (15W)
วันเปิดตัว,สิงหาคม 2564
วันวางจำหน่าย,"สิงหาคม 2564, วางจำหน่ายแล้ว"
ขนาด,158.20 x 128.10 x 6.40 มม.
น้ำหนัก,271 กรัม
วัสดุ,"Glass front (Gorilla Glass Victus) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus), aluminum frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/200 Mbps, 5G"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/200 Mbps, 5G"
ประเภท,Foldable Dynamic AMOLED
ขนาดหน้าจอ,7.60 นิ้ว
ความละเอียด,1768 x 2208 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,Qualcomm Snapdragon 888 SM8350 2.84 GHz
ชิปกราฟิก,Adreno 660
หน่วยความจำ,12 GB
ความจุ,256/512 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 12 MP, f/1.8, 26mm (wide), 1/1.76
ตัวที่ 2: 12 MP, f/2.4, 52mm (telephoto), 1/3.6
ตัวที่ 3: 12 MP, f/2.2, 123?, 12mm (ultrawide), 1.12?m"
ความละเอียดวีดีโอ,"4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+"
กล้องหน้า,"ตัวที่ 1: 16 MP, f/1.8, 1.0?m, under display
ตัวที่ 2: 10 MP, f/2.2, 26mm (wide), 1/3"
Bluetooth,"5.2, A2DP, LE, aptX HD"
Wi-Fi,"802.11 a/b/g/n/ac/6, dual"
USB,Type-C
GPS,"with A-GPS, GLONASS, GALI"
NFC,รอบรับ
ความจุ,"4,400 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,สิงหาคม 2565
วันวางจำหน่าย,"สิงหาคม 2565, วางจำหน่ายแล้ว"
ขนาด,155.10 x 130.10 x 6.30 มม.
น้ำหนัก,263 กรัม
วัสดุ,"Plastic front (opened), glass back (Gorilla Glass Victus+), aluminum frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G"
ประเภท,Foldable Dynamic AMOLED 2X
ขนาดหน้าจอ,7.60 นิ้ว
ความละเอียด,1812 x 2716 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Qualcomm Snapdragon 8+ Gen 1 SM8475 3.19 GHz
ชิปกราฟิก,Adreno 730
หน่วยความจำ,12 GB
ความจุ,256 GB
Memory Card,ไม่รองรับ
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, 24mm (wide), 1.0?m, Dual Pixel PDAF, OIS
ตัวที่ 2: 10 MP, f/2.4, 67mm (telephoto), 1.0?m, PDAF, OIS, 3x optical zoom
ตัวที่ 3: 12 MP, f/2.2, 123?, 12mm (ultrawide), 1.12?m"
ความละเอียดวีดีโอ,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+"
กล้องหน้า,"ตัวที่ 1: 4 MP, f/1.8, 26mm (wide), 2.0?m, under display"
Bluetooth,"5.2, A2DP, LE, aptX HD"
Wi-Fi,"802.11 a/b/g/n/ac/6e, dua"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,รอบรับ
ความจุ,"4,400 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,กันยายน 2563
วันวางจำหน่าย,"กันยายน 2563, วางจำหน่ายแล้ว"
ขนาด,159.20 x 128.20 x 6.90 มม.
น้ำหนัก,282 กรัม
วัสดุ,"glass,plastic,aluminum"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, esim)"
Technology,"5G,EDGE,HSPA+,LTE cat 20 Enhanced 4X4 MIMO"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"5G,EDGE,HSPA+,LTE cat 20 Enhanced 4X4 MIMO"
ประเภท,Foldable Dynamic AMOLED
ขนาดหน้าจอ,7.60 นิ้ว
ความละเอียด,1768 x 2208 pixels
ฟีเจอร์เพิ่มเติม,"สามารถแชร์อินเตอร์เน็ตให้อุปกรณ์อื่นได้
ใช้เป็น Diskdrive ได้เพื่อโอนหรือย้ายข้อมูลบน PC ได้
มาพร้อมอินเตอร์เฟซ One ui 2.5 และ Android 10
รองรับ Reverse wireless charging 4.5W
หน้าจอรองรับ HDR10+ , 120Hz refresh rate
รองรับ ANT+
จอด้านหลังขนาด 6.23"" Super AMOLED ความละเอียด 816 x 2260 
รองรับ Samsung DeX"
ระบบปฏิบัติการ,Android 10
ชิปประมวลผล,Qualcomm Snapdragon 865+ SM8250-AB 3.1 GHz
ชิปกราฟิก,Adreno 650
หน่วยความจำ,12 GB
ความจุ,256 GB
Memory Card,Not Suppor
กล้องหลัก,"ตัวที่ 1: 12 MP, f/1.8, 26mm (wide), 1/1.76
ตัวที่ 2: 12 MP, f/2.4, 52mm (telephoto), 1/3.6
ตัวที่ 3: 12 MP, f/2.2, 123?, 12mm (ultrawide), 1.12?m"
ความละเอียดวีดีโอ,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+"
กล้องหน้า,"ตัวที่ 1: 10 MP, f/2.2, 26mm (wide), 1.22?m"
Bluetooth,"5.0, A2DP, LE, aptX HD"
Wi-Fi,802.11 a/b/g/n/ac/6 HE80
USB,"3.1, Type-C 1.0 reversible connector"
GPS,"GPS ,A-GPS, GLONASS, BDS,"
NFC,รอบรับ
ความจุ,"4,500 mAh"
ประเภท,Non-removable Li-Po Batt
Wireless Charging,รองรับ
Fast Charging,"รองรับ (Fast battery 25W,Fast wireless charging 11W)"
